,date,state,fips,cases,deaths,epoch_ms
282,2020-03-03,WASHINGTON,53,32,10,1583222400000
283,2020-03-03,WISCONSIN,55,1,0,1583222400000
284,2020-03-04,ARIZONA,4,2,0,1583308800000
285,2020-03-04,CALIFORNIA,6,55,1,1583308800000
286,2020-03-04,FLORIDA,12,3,0,1583308800000
287,2020-03-04,GEORGIA,13,2,0,1583308800000
288,2020-03-04,ILLINOIS,17,4,0,1583308800000
289,2020-03-04,MASSACHUSETTS,25,2,0,1583308800000
290,2020-03-04,NEBRASKA,31,13,0,1583308800000
291,2020-03-04,NEWHAMPSHIRE,33,2,0,1583308800000
292,2020-03-04,NEWJERSEY,34,1,0,1583308800000
293,2020-03-04,NEWYORK,36,11,0,1583308800000
294,2020-03-04,NORTHCAROLINA,37,1,0,1583308800000
295,2020-03-04,OREGON,41,2,0,1583308800000
296,2020-03-04,RHODEISLAND,44,2,0,1583308800000
297,2020-03-04,TEXAS,48,12,0,1583308800000
298,2020-03-04,UTAH,49,1,0,1583308800000
299,2020-03-04,WASHINGTON,53,47,11,1583308800000
300,2020-03-04,WISCONSIN,55,1,0,1583308800000
301,2020-03-05,ARIZONA,4,2,0,1583395200000
302,2020-03-05,CALIFORNIA,6,67,1,1583395200000
303,2020-03-05,COLORADO,8,2,0,1583395200000
304,2020-03-05,FLORIDA,12,4,0,1583395200000
305,2020-03-05,GEORGIA,13,2,0,1583395200000
306,2020-03-05,ILLINOIS,17,5,0,1583395200000
307,2020-03-05,MARYLAND,24,3,0,1583395200000
308,2020-03-05,MASSACHUSETTS,25,3,0,1583395200000
309,2020-03-05,NEBRASKA,31,13,0,1583395200000
310,2020-03-05,NEVADA,32,2,0,1583395200000
311,2020-03-05,NEWHAMPSHIRE,33,2,0,1583395200000
312,2020-03-05,NEWJERSEY,34,2,0,1583395200000
313,2020-03-05,NEWYORK,36,22,0,1583395200000
314,2020-03-05,NORTHCAROLINA,37,1,0,1583395200000
315,2020-03-05,OREGON,41,2,0,1583395200000
316,2020-03-05,RHODEISLAND,44,2,0,1583395200000
317,2020-03-05,TENNESSEE,47,1,0,1583395200000
318,2020-03-05,TEXAS,48,16,0,1583395200000
319,2020-03-05,UTAH,49,1,0,1583395200000
320,2020-03-05,WASHINGTON,53,75,11,1583395200000
321,2020-03-05,WISCONSIN,55,1,0,1583395200000
322,2020-03-06,ARIZONA,4,3,0,1583481600000
323,2020-03-06,CALIFORNIA,6,81,1,1583481600000
324,2020-03-06,COLORADO,8,8,0,1583481600000
325,2020-03-06,FLORIDA,12,7,2,1583481600000
326,2020-03-06,GEORGIA,13,3,0,1583481600000
327,2020-03-06,HAWAII,15,1,0,1583481600000
328,2020-03-06,ILLINOIS,17,6,0,1583481600000
329,2020-03-06,INDIANA,18,1,0,1583481600000
330,2020-03-06,KENTUCKY,21,1,0,1583481600000
331,2020-03-06,MARYLAND,24,3,0,1583481600000
332,2020-03-06,MASSACHUSETTS,25,8,0,1583481600000
333,2020-03-06,MINNESOTA,27,1,0,1583481600000
334,2020-03-06,NEBRASKA,31,14,0,1583481600000
335,2020-03-06,NEVADA,32,2,0,1583481600000
336,2020-03-06,NEWHAMPSHIRE,33,2,0,1583481600000
337,2020-03-06,NEWJERSEY,34,4,0,1583481600000
338,2020-03-06,NEWYORK,36,44,0,1583481600000
