County Formatted,County,State Formatted,State,Population
Hendry,HENDRY,Florida,FLORIDA,42022
Hernando,HERNANDO,Florida,FLORIDA,193920
Highlands,HIGHLANDS,Florida,FLORIDA,106221
Hillsborough,HILLSBOROUGH,Florida,FLORIDA,1471968
Holmes,HOLMES,Florida,FLORIDA,19617
Indian River,INDIANRIVER,Florida,FLORIDA,159923
Jackson,JACKSON,Florida,FLORIDA,46414
Jefferson,JEFFERSON,Florida,FLORIDA,14246
Lafayette,LAFAYETTE,Florida,FLORIDA,8422
Lake,LAKE,Florida,FLORIDA,367118
Lee,LEE,Florida,FLORIDA,770577
Leon,LEON,Florida,FLORIDA,293582
Levy,LEVY,Florida,FLORIDA,41503
Liberty,LIBERTY,Florida,FLORIDA,8354
Madison,MADISON,Florida,FLORIDA,18493
Manatee,MANATEE,Florida,FLORIDA,403253
Marion,MARION,Florida,FLORIDA,365579
Martin,MARTIN,Florida,FLORIDA,161000
Miami-Dade,MIAMI-DADE,Florida,FLORIDA,2716940
Monroe,MONROE,Florida,FLORIDA,74228
Nassau,NASSAU,Florida,FLORIDA,88625
Okaloosa,OKALOOSA,Florida,FLORIDA,210738
Okeechobee,OKEECHOBEE,Florida,FLORIDA,42168
Orange,ORANGE,Florida,FLORIDA,1393452
Osceola,OSCEOLA,Florida,FLORIDA,375751
Palm Beach,PALMBEACH,Florida,FLORIDA,1496770
Pasco,PASCO,Florida,FLORIDA,553947
Pinellas,PINELLAS,Florida,FLORIDA,974996
Polk,POLK,Florida,FLORIDA,724777
Putnam,PUTNAM,Florida,FLORIDA,74521
St. Johns,ST.JOHNS,Florida,FLORIDA,264672
St. Lucie,ST.LUCIE,Florida,FLORIDA,328297
Santa Rosa,SANTAROSA,Florida,FLORIDA,184313
Sarasota,SARASOTA,Florida,FLORIDA,433742
Seminole,SEMINOLE,Florida,FLORIDA,471826
Sumter,SUMTER,Florida,FLORIDA,132420
Suwannee,SUWANNEE,Florida,FLORIDA,44417
Taylor,TAYLOR,Florida,FLORIDA,21569
Union,UNION,Florida,FLORIDA,15237
Volusia,VOLUSIA,Florida,FLORIDA,553284
Wakulla,WAKULLA,Florida,FLORIDA,33739
Walton,WALTON,Florida,FLORIDA,74071
Washington,WASHINGTON,Florida,FLORIDA,25473
Appling,APPLING,Georgia,GEORGIA,18386
Atkinson,ATKINSON,Georgia,GEORGIA,8165
Bacon,BACON,Georgia,GEORGIA,11164
Baker,BAKER,Georgia,GEORGIA,3038
Baldwin,BALDWIN,Georgia,GEORGIA,44890
Banks,BANKS,Georgia,GEORGIA,19234
Barrow,BARROW,Georgia,GEORGIA,83240
Bartow,BARTOW,Georgia,GEORGIA,107738
Ben Hill,BENHILL,Georgia,GEORGIA,16700
Berrien,BERRIEN,Georgia,GEORGIA,19397
Bibb,BIBB,Georgia,GEORGIA,153159
